player_appearance_id,checkpoint,press_turnover_rate_A,top_third_run_share_A,top_third_presence_joint,top_third_pass_x_top_third_run,top_third_press_share_x_set_piece_share,four_domain_top_third_avg,top_third_run_share,cumul_passes,top_third_press_share_above_team_avg,passes_received_share_D,forward_pass_share_D,cumul_intensity,top_third_last15_share,match_minute_at_cp,runs_per_minute_played,passes_received_share_above_team_avg,shot_to_pass_ratio,last15_sprints_A,last15_press_events_x_last15_intensity_shots,press_turnover_rate,forward_pass_share_A,fatigue_gap,last15_intensity,last15_press_events,shot_intent_under_fatigue
39421,H1_15,0.0,0.0,,,,0.0,,2,,0.0,0.0,0.0,,15,0.0,0.0509067952249769,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
39422,H1_15,0.0,0.0,0.0,0.0,,0.0,0.0,7,-0.03125,0.5,1.0,0.0,0.0,15,0.4666666666666667,-0.1157598714416896,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,0.0
39423,H1_15,0.0,0.0,,0.0,,0.0,0.0,7,,0.5,,0.0,0.0,15,0.4,-0.1157598714416896,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
39424,H1_15,0.0,0.0,0.0,0.0,,0.0,0.0,4,-0.03125,0.5,1.0,0.0,0.0,15,0.4,-0.1157598714416896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39425,H1_15,0.75,0.1578947368421052,0.0394736842105263,,,0.1019736842105263,0.1578947368421052,0,0.21875,0.0,0.0,0.0,0.1578947368421052,15,1.2666666666666666,0.3842401285583103,,4.0,0.0,0.75,0.0,0.0,0.0,4.0,0.0
39426,H1_15,0.0,0.0,0.0,0.0,,0.0576923076923076,0.2307692307692307,4,-0.03125,0.0,0.0,0.0,0.2307692307692307,15,0.8666666666666667,-0.060204315886134,0.0,0.0,0.0,0.75,0.0,0.0,0.0,4.0,0.0
39429,H1_15,0.0,0.0,,0.0,,0.03125,0.125,2,,0.0,0.0,0.0,0.125,15,0.5333333333333333,-0.1157598714416896,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
39431,H1_15,0.0,0.0,0.0,,,0.0178571428571428,0.0714285714285714,0,-0.03125,0.0,0.0,0.0,0.0714285714285714,15,0.9333333333333332,0.3842401285583103,,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0
39433,H1_15,0.0,0.0,0.0,0.0,,0.0416666666666666,0.1666666666666666,3,-0.03125,0.0,0.0,0.0,0.1666666666666666,15,0.8,0.0092401285583103,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,3.0,0.0
39435,H1_15,0.0,0.0,0.0,0.0259740259740259,,0.0811688311688311,0.1818181818181818,7,-0.03125,0.3636363636363636,0.0,0.0,0.1818181818181818,15,0.7333333333333333,-0.252123507805326,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,3.0,0.0
39436,H1_15,0.0,0.0,0.0,0.0317460317460317,,0.0912698412698412,0.2222222222222222,7,-0.03125,0.0,0.0,0.0,0.2222222222222222,15,0.6,-0.0532598714416896,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3.0,0.0
39437,H1_15,0.0,0.0,,0.0,,0.0,0.0,4,,0.0,0.0,0.0,0.0,15,0.0666666666666666,0.0114616383406159,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
39438,H1_15,0.0,0.0,0.0,0.03125,,0.0885416666666666,0.1875,12,-0.4123809523809523,0.4285714285714285,0.3333333333333333,0.0,0.1875,15,1.0666666666666669,-0.0599669330879554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
39439,H1_15,0.0,0.0,0.0,0.0,,0.03125,0.125,24,-0.4123809523809523,0.4893617021276595,0.2857142857142857,0.0,0.125,15,0.5333333333333333,0.0008233404682755,0.0,0.0,0.0,0.125,0.0,0.0,0.0,8.0,0.0
39440,H1_15,0.0,0.0,0.0,0.0,,0.025,0.1,22,-0.4123809523809523,0.4883720930232558,0.0,0.0,0.1,15,0.6666666666666666,-0.0001662686361282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39441,H1_15,0.0,0.0,0.3703703703703703,0.3888888888888889,,0.4805555555555555,0.5555555555555556,10,0.2542857142857143,0.0,0.0,0.0,0.5555555555555556,15,0.6,0.0569161837951613,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,6.0,0.0
39442,H1_15,0.0,0.0,0.625,0.65625,0.0,0.8348214285714286,0.875,12,0.3019047619047619,0.0,0.0,0.0666666666666666,0.875,15,0.5333333333333333,0.0114616383406159,0.0833333333333333,0.0,0.4666666666666667,0.5714285714285714,0.0,0.0,0.0666666666666666,7.0,0.0
39443,H1_15,0.0,0.0,0.0714285714285714,0.125,,0.2232142857142857,0.5,16,-0.2695238095238095,0.0,0.0,0.0,0.5,15,0.2666666666666666,-0.0402624995904185,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,7.0,0.0
