feature,n,pearson_r,best_rate,ci_lo,ci_hi,n_bin,best_direction,coef,p_raw,p_bh,bh_sig_q05,tier
press_turnover_rate_A,3463,0.13464941425537366,0.138328530259366,0.10594621479939725,0.17863092484737547,347,top,1.7930366541381906,7.658417039661839e-07,4.967330999123827e-06,True,S - top
passes_received_share_A,3472,0.13296962605427307,0.13636363636363635,0.10441763848124952,0.17616085046599678,352,top,1.9296904928171126,7.765253907749386e-07,4.967330999123827e-06,True,S - top
top_third_run_share_A,3486,0.1290608109015348,0.13031161473087818,0.09913656520723925,0.16944618057974226,353,top,2.0362678260855867,5.816602491844129e-09,5.8996968131561884e-08,True,S - top
top_third_presence_joint,3179,0.12578435854096126,0.12732919254658384,0.09526325271166203,0.1681822251332289,322,top,2.768858201030168,1.5072586348291136e-06,7.643954505204791e-06,True,S - top
top_third_pass_x_top_third_run,3312,0.1241710630036031,0.12684365781710916,0.09555002892823077,0.16649954678449297,339,top,2.7946456984288233,7.609463076793474e-09,6.753398480654208e-08,True,S - top
top_third_press_share_x_set_piece_share,1008,0.12367543367419684,0.1485148514851485,0.09211601417099889,0.23067097488236532,101,top,2.1356821416217993,0.0029479759097699614,0.006540821549802102,True,S - top
top_third_presence_avg,3422,0.11856587276894356,0.13450292397660818,0.10237520771907713,0.1747502102325755,342,top,2.2684307724833026,1.0052574298726287e-05,4.7582185013971096e-05,True,S - top
top_third_pass_share,3431,0.11510602091731952,0.1318051575931232,0.10029025573766664,0.17133728809186538,349,top,1.73190968669635,2.1563234080490356e-05,9.568685123217595e-05,True,S - top
four_domain_top_third_avg,3482,0.11214604077339514,0.12643678160919541,0.09555040768427428,0.16548039615711865,348,top,1.9993879265332983,7.127809649233526e-05,0.00028115249171976685,True,S - top
top_third_press_share,3238,0.10747442105099524,0.12576687116564417,0.09407660753908242,0.16617405690925363,326,top,1.5120300894364085,0.0006833106740321943,0.001940602314251432,True,S - top
top_third_consistency_count,3486,0.10709112124512671,0.10152284263959391,0.07544448556726793,0.13529639364934787,394,top,0.3002472311097844,0.00023546458164180713,0.0008276488031949613,True,S - top
top_third_run_share,3363,0.10363071544148063,0.12462908011869436,0.09354010756125157,0.16417929994458458,337,top,2.001913216700228,1.054388237131721e-06,5.7585819104886305e-06,True,S - top
cumul_passes,3486,-0.10210804570393997,0.10845986984815618,0.08324262077789599,0.14014850935955045,461,bottom,-0.036038874371371044,0.0002282238319391491,0.0008276488031949613,True,S - top
top_third_press_share_above_team_avg,3238,0.10148031369716465,0.11764705882352941,0.08692365279121832,0.1573582663654799,323,top,1.6071507963014193,0.002916321498584271,0.006540821549802102,True,S - top
passes_received_share_D,3482,-0.09015934324303283,0.02,0.009721039474232905,0.040701143613518606,350,top,-1.931431868363262,0.007212804268672421,0.014225252863215052,True,A - keep
forward_pass_share_D,3385,-0.08276383412966147,0.028328611898016998,0.01545893925272714,0.05135352950997342,353,top,-2.0243153759366486,0.026244707702797403,0.047778826843554244,True,A - keep
cumul_intensity,3486,0.08220948254945021,0.0975609756097561,0.07517613540352996,0.12570525527295529,533,top,9.815722818891077,0.0022277832899399957,0.00527242045285799,True,A - keep
top_third_last15_share,3240,0.08205264984237766,0.09770114942528736,0.07075998899598372,0.1334270305255163,348,top,1.3198087926328153,1.5975395282621717e-08,1.2602811834068245e-07,True,A - keep
match_minute_at_cp,3486,-0.08183744539095952,0.08957415565345081,0.07036496706843537,0.11338772079803047,681,bottom,-0.016272221523523894,2.4875685095294753e-05,0.00010389256716270162,True,A - keep
runs_per_minute_played,3486,0.08009385117862096,0.008595988538681949,0.002927633320409342,0.02496438042873267,349,bottom,1.0760741195608419,8.395489012603651e-07,4.967330999123827e-06,True,A - keep
passes_received_share_G,3486,-0.0777151596027166,0.0,-8.673617379884035e-19,0.011973074910000856,317,top,-84.91342980196616,4.1319983721063e-101,5.867437688390945e-100,True,C - drop (separation)
passes_received_share_above_team_avg,3457,0.0766791265475623,0.13333333333333333,0.1014711296843446,0.17327103870555713,345,top,3.407145481453135,0.0005791154194453209,0.0017877041208964252,True,A - keep
shot_to_pass_ratio,3431,0.07450563621996846,0.10256410256410256,0.07500802598069503,0.13872533841463558,351,top,1.2849904791268314,0.01163350587863413,0.021736287299553243,True,A - keep
passes_received_share,3457,0.07137197926163882,0.12034383954154727,0.09027755719584615,0.1586769140680682,349,top,3.021927686267466,0.0006329739569705857,0.0018725479560379827,True,A - keep
last15_sprints_A,3486,0.0711690258421504,0.10277777777777777,0.07548842695958866,0.13845491823531783,360,top,0.21407270828607547,0.0007131615531889265,0.0019474796260159147,True,A - keep
last15_press_events_x_last15_intensity_shots,3486,0.07073543808200548,0.09743589743589744,0.07181265424225274,0.13091221647036536,390,top,1.3263260276558204,0.0004759910762478071,0.0015361530187997412,True,A - keep
press_turnover_rate,3238,0.06942937019245728,0.11009174311926606,0.08058873525879195,0.14864933874510083,327,top,1.1154445890412643,0.005303932291076465,0.011075858607836149,True,A - keep
forward_pass_share_A,3399,0.06568290902030881,0.09567901234567901,0.06822515662130428,0.1326080725179813,324,top,1.3330651644240121,0.003627620015327765,0.007804879426917312,True,A - keep
cumul_passes_G,3486,-0.06505787879958873,0.0,0.0,0.011935873130733904,318,top,-16.287730752243206,4.9026657940765285e-108,8.702231784485838e-107,True,C - drop (separation)
fatigue_gap,3486,0.061101486901362426,0.03140096618357488,0.018441122251293008,0.05297701539574173,414,bottom,3.6382077651665115,0.00024479753333935477,0.0008276488031949613,True,A - keep
last15_intensity,3486,0.059807542882346465,0.09090909090909091,0.06905369856677786,0.11879897169151894,517,top,6.973078385919701,0.001564520975894664,0.003967178188875755,True,A - keep
shots_per_pass_received,3446,0.057491363205799784,0.11142061281337047,0.08289843120291168,0.14817069494710244,359,top,1.7061416317995888,0.01127731671595279,0.02164025640088238,True,A - keep
last15_press_events,3486,0.057394136075927915,0.039634146341463415,0.027188835507239578,0.05743976439992167,656,bottom,0.08269459987452521,0.00221842941455305,0.00527242045285799,True,A - keep
shot_intent_under_fatigue,3486,0.05455896744191112,0.11320754716981132,0.07726491740597835,0.16291812761207983,212,top,5.619268662355406,0.0009004120464272139,0.0023677501961604517,True,A - keep
speed_above_team_avg,3486,0.04715228934837112,0.034383954154727794,0.019776546494563618,0.05912988052721817,349,bottom,0.26312870174303554,0.00592429502754301,0.012017855627301535,True,A - keep
forward_pass_share_G,3281,-0.04362280481943413,0.0,-3.469446951953614e-18,0.03926207629154474,94,top,-37.835593319906074,2.3983402469211617e-149,5.676071917713416e-148,True,C - drop (separation)
last15_sprints_G,3486,-0.019816866164462824,0.058602771362586605,0.05125901739964669,0.0669244300524374,3464,bottom,-22.340550924318844,0.0,0.0,True,C - drop (flat)
is_penalty_taker,3486,-0.01688526307987493,0.0585014409221902,0.051170064398415094,0.06680925724852842,3470,bottom,-18.376697492946032,0.0,0.0,True,C - drop (flat)
top_third_run_share_G,3367,-0.01477356876561194,0.060542797494780795,0.05296228923843099,0.06912910645252823,3353,bottom,-117.11852513867328,5.813319221777536e-81,6.879094412436751e-80,True,C - drop (flat)
cumul_passes_D,3486,-0.07778079248416221,0.02564102564102564,0.013547320729910758,0.04800540451612902,351,top,-0.02740214022691616,0.0381562632898367,0.06402504694502674,False,B - cautious (rate)
top_third_run_share_D,3484,-0.07413276594029997,0.028735632183908046,0.01568209518788788,0.05207984196586932,348,top,-3.97130930492986,0.04987161425550315,0.0786863247142383,False,B - cautious (rate)
last15_sprints_D,3486,-0.07242433084194173,0.019880715705765408,0.010833968133964412,0.036205314872141334,503,top,-0.48522963671530744,0.031002239975658746,0.05502897595679427,False,B - cautious (rate)
press_turnover_rate_D,3440,-0.06967218182640014,0.033707865168539325,0.01938559664122019,0.057985862756312095,356,top,-1.9449025206438828,0.05354556124213227,0.08264640974329111,False,B - cautious (rate)
player_shot_share,3233,0.06863510706326578,0.07471264367816093,0.05149311961661614,0.10721887244896962,348,top,1.401795318638863,0.03877573265684718,0.06402504694502674,False,B - cautious (r)
top_third_run_share_x_set_piece_share,1014,0.06009365788732153,0.11764705882352941,0.06859446738989401,0.19445423895740133,102,top,1.3194673856571708,0.18831959265938314,0.2522771901663434,False,B - cautious (rate)
share_left_foot,1014,-0.05686755120026655,0.08741258741258741,0.06693277561533523,0.11339716977164382,572,bottom,-0.5123938024789594,0.21479564012810026,0.27728164452900217,False,B - cautious (rate)
share_right_foot,1014,0.05345829591398177,0.09382716049382717,0.06912261349863436,0.12616447663893962,405,top,0.442776494337727,0.3683336325462049,0.4287161952586975,False,B - cautious (rate)
last15_passes,3486,-0.05145003368666889,0.10764872521246459,0.07943871760968407,0.14430618883856833,353,bottom,-0.05009209939122854,0.031941576154585406,0.05531346114574546,False,B - cautious (rate)
press_turnover_rate_G,3348,-0.04367073997064598,0.0,0.0,0.032054506499638716,116,top,,,,False,B - cautious (rate)
press_turnover_rate_M,3445,0.043280326408555454,0.09264305177111716,0.0670539266926361,0.12667160509972544,367,top,0.7466592434890964,0.15204417122330036,0.20759877224719855,False,B - cautious (rate)
mean_abs_pass_angle,2992,-0.04207973445634351,0.0802675585284281,0.05453064115978922,0.11665285208638593,299,bottom,-0.011985205727766714,0.08447326362132547,0.12240003504314508,False,B - cautious (rate)
top_third_run_share_M,3484,0.04080601607680407,0.08791208791208792,0.06295990630857473,0.1214713403437058,364,top,0.8739220515260739,0.13508666242080405,0.19182306063754176,False,B - cautious (rate)
shots_per_top_third_run,2928,0.03831834613885338,0.09491525423728814,0.06648615641458588,0.13375867928138496,295,top,0.7261099199490615,0.23919558479834724,0.303265830726476,False,B - cautious (rate)
last15_sprints_M,3486,0.03797126164916696,0.07590759075907591,0.057389576733467215,0.09976841479769481,606,top,0.12385128753458678,0.05521863642806127,0.08341538694451808,False,B - cautious (rate)
forward_pass_share,2992,-0.03759235879460639,0.07976366322008863,0.06164646291471527,0.1026229971361137,677,bottom,-0.5693255242678478,0.3097909515139746,0.36658595929153664,False,B - cautious (rate)
subbed_x_last15_intensity_shots,3486,0.035402446553125924,0.08396946564885496,0.05610451355900695,0.12385785586570508,262,top,5.477407098947697,0.0699089820990543,0.10340703602151782,False,B - cautious (rate)
forward_pass_share_M,3385,0.03410993544033901,0.07964601769911504,0.05531254296078782,0.11339942968002738,339,top,0.6009040648381154,0.25981407885380237,0.32362806313368364,False,B - cautious (rate)
passes_received_share_M,3475,0.032549862273497134,0.10086455331412104,0.0734213026719896,0.13704828968719782,347,top,0.533844878278037,0.3014740861881764,0.363830060619506,False,B - cautious (rate)
top_third_run_share_x_shot_accuracy,1014,0.031969162402063246,0.0705244122965642,0.05201653483730166,0.0949579002092948,553,bottom,0.5968409671709337,0.5173890956219478,0.5915580511961017,False,C - drop (flat)
cumul_passes_A,3486,0.03150205894374498,0.1,0.07310954842368562,0.13533689708726915,360,top,0.017357957450849868,0.21382040706667593,0.27728164452900217,False,B - cautious (rate)
intensity_uplift,3486,0.031314240758076886,0.08620689655172414,0.06105167694448843,0.12039782884905448,348,top,0.12227390986579598,0.044663219400176236,0.07207019494119347,False,B - cautious (rate)
shot_to_press_ratio,3238,0.030753254214524687,0.08288770053475936,0.05900652894850819,0.11525031154272913,374,top,0.6272599715211672,0.14068098590388997,0.1958499999838468,False,B - cautious (rate)
pressing_minus_pressed,3486,0.028155773776442707,0.03636363636363636,0.021782552361543785,0.06010547191772198,385,bottom,0.0167356858744904,0.3023376560077585,0.363830060619506,False,B - cautious (rate)
shot_accuracy,1014,0.027080530479844225,0.08480565371024736,0.05764998030525412,0.12308211830361698,283,top,0.22957368585984508,0.5249036228923156,0.5915580511961017,False,B - cautious (rate)
composure_under_pressure_ratio,3213,-0.023167978279976256,0.1059190031152648,0.0767915691268703,0.14436695873317465,321,bottom,-0.2924238428091116,0.6012845534019757,0.646836413508186,False,B - cautious (rate)
cumul_press_events,3486,-0.016353110895830796,0.04742268041237113,0.03180529618494097,0.07015303390623864,485,bottom,-0.00999163989362715,0.5684129320315812,0.6305830964725353,False,C - drop (flat)
pressing_minus_pressed_x_cumul_shots,3486,-0.014461019503703789,0.07957559681697612,0.056306830300011726,0.11132580879969207,377,bottom,-0.006597586993883988,0.689725948617961,0.7201550345864005,False,B - cautious (rate)
cumul_passes_M,3486,-0.013870345188438106,0.049315068493150684,0.03141873582495075,0.07659910725613941,365,top,-0.004781987495663398,0.5978892894261143,0.646836413508186,False,C - drop (flat)
cumul_pressing_others,3486,0.010186316935639973,0.02358490566037736,0.012860322927153087,0.04286466194554002,424,bottom,0.005534101511994443,0.6109479921412388,0.6474224991347457,False,B - cautious (rate)
last15_passes_received_x_last15_sprints,3486,-0.005304910419059372,0.04170528266913809,0.03131340220665597,0.05534883080656409,1079,bottom,-0.0018665042274709858,0.748246747378772,0.7699350588969972,False,B - cautious (rate)
dominant_foot_strength,1014,-0.0023439915509334943,0.0873015873015873,0.04944684363252965,0.14957632705118967,126,bottom,-0.02544600830334584,0.9597344545208593,0.9641044508873563,False,B - cautious (rate)
set_piece_share,1014,0.0018747587820810562,0.06815020862308763,0.051931413231427734,0.08895903733410442,719,bottom,0.017904332300941093,0.9641044508873563,0.9641044508873563,False,C - drop (flat)
