player_appearance_id,player_id,fixture_id,date,checkpoint,checkpoint_period,checkpoint_min,position,is_home,formation,minute_in,minute_out,subbed,last15_sprints,last15_hsr,last15_distance,last15_mean_max_speed,last15_peak_speed,last15_shots,last15_shots_on_target,last15_shots_under_press,last15_shots_top_third,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,scored_after,minutes_active,active_windows,ratio_sprints,ratio_hsr,ratio_distance,ratio_mean_max_speed,ratio_peak_speed,ratio_shots,ratio_shots_on_target,ratio_shots_under_press,ratio_shots_top_third,formation_offensiveness
39422,2732,1159,6/11/2025,H1_15,half_1,15,D,TRUE,4-1-4-1,1,90,FALSE,2,5,68.15,6.806,7.46,0,0,0,0,2,5,68.15,6.806,7.46,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39423,3296,1159,6/11/2025,H1_15,half_1,15,D,TRUE,4-1-4-1,1,90,FALSE,2,4,68.49,7.165,7.87,0,0,0,0,2,4,68.49,7.165,7.87,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39424,3297,1159,6/11/2025,H1_15,half_1,15,D,TRUE,4-1-4-1,1,90,FALSE,1,5,80.36,6.873,8.95,0,0,0,0,1,5,80.36,6.873,8.95,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39425,3298,1159,6/11/2025,H1_15,half_1,15,A,TRUE,4-1-4-1,1,75,TRUE,4,15,183.3,6.533,7.68,0,0,0,0,4,15,183.3,6.533,7.68,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39426,3299,1159,6/11/2025,H1_15,half_1,15,M,TRUE,4-1-4-1,1,87,TRUE,4,9,138.44,6.866,8.45,0,0,0,0,4,9,138.44,6.866,8.45,0,0,0,0,1,15,1,1,1,1,1,1,,,,,17
39429,3302,1159,6/11/2025,H1_15,half_1,15,M,TRUE,4-1-4-1,1,90,FALSE,0,8,153.41,6.522,7.13,0,0,0,0,0,8,153.41,6.522,7.13,0,0,0,0,0,15,1,,1,1,1,1,,,,,17
39431,3303,1159,6/11/2025,H1_15,half_1,15,M,TRUE,4-1-4-1,1,80,TRUE,4,10,249.47,7.041,9.88,0,0,0,0,4,10,249.47,7.041,9.88,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39433,2713,1159,6/11/2025,H1_15,half_1,15,M,TRUE,4-1-4-1,1,87,TRUE,2,10,159.45,6.725,7.79,0,0,0,0,2,10,159.45,6.725,7.79,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39435,2695,1159,6/11/2025,H1_15,half_1,15,D,TRUE,4-1-4-1,1,90,FALSE,2,9,103.61,6.639,7.77,0,0,0,0,2,9,103.61,6.639,7.77,0,0,0,0,1,15,1,1,1,1,1,1,,,,,17
39436,3305,1159,6/11/2025,H1_15,half_1,15,M,TRUE,4-1-4-1,1,80,TRUE,1,8,123.71,6.551,8.67,0,0,0,0,1,8,123.71,6.551,8.67,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39438,3307,1159,6/11/2025,H1_15,half_1,15,D,FALSE,4-1-4-1,1,90,FALSE,5,11,233.68,7.098,9.48,0,0,0,0,5,11,233.68,7.098,9.48,0,0,0,0,1,15,1,1,1,1,1,1,,,,,17
39439,3308,1159,6/11/2025,H1_15,half_1,15,D,FALSE,4-1-4-1,1,90,FALSE,1,7,102.21,6.656,8.62,0,0,0,0,1,7,102.21,6.656,8.62,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39440,3309,1159,6/11/2025,H1_15,half_1,15,D,FALSE,4-1-4-1,1,90,FALSE,1,9,124.69,6.368,7.4,0,0,0,0,1,9,124.69,6.368,7.4,0,0,0,0,1,15,1,1,1,1,1,1,,,,,17
39441,3310,1159,6/11/2025,H1_15,half_1,15,M,FALSE,4-1-4-1,1,90,FALSE,2,7,97.71,6.733,8.03,0,0,0,0,2,7,97.71,6.733,8.03,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39442,3311,1159,6/11/2025,H1_15,half_1,15,M,FALSE,4-1-4-1,1,90,FALSE,2,6,95.66,6.79,7.9,1,1,0,1,2,6,95.66,6.79,7.9,1,1,0,1,0,15,1,1,1,1,1,1,1,1,,1,17
39443,3312,1159,6/11/2025,H1_15,half_1,15,M,FALSE,4-1-4-1,1,77,TRUE,1,3,41.66,6.672,8.28,0,0,0,0,1,3,41.66,6.672,8.28,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
39444,3313,1159,6/11/2025,H1_15,half_1,15,A,FALSE,4-1-4-1,1,66,TRUE,2,4,65.97,6.848,7.38,0,0,0,0,2,4,65.97,6.848,7.38,0,0,0,0,1,15,1,1,1,1,1,1,,,,,17
39445,3314,1159,6/11/2025,H1_15,half_1,15,M,FALSE,4-1-4-1,1,59,TRUE,0,16,184.75,6.125,6.62,0,0,0,0,0,16,184.75,6.125,6.62,0,0,0,0,0,15,1,,1,1,1,1,,,,,17
39448,3317,1159,6/11/2025,H1_15,half_1,15,M,FALSE,4-1-4-1,1,66,TRUE,4,6,131.27,7.231,8.32,0,0,0,0,4,6,131.27,7.231,8.32,0,0,0,0,0,15,1,1,1,1,1,1,,,,,17
