player_appearance_id,checkpoint,fixture_id,is_home,position,last15_mean_max_speed,last15_peak_speed,last15_hsr,cumul_mean_max_speed,top_third_run_share,top_third_last15_share,runs_per_minute_played
39421,H1_15,1159,True,G,0.0,0.0,0,0.0,,,0.0
39422,H1_15,1159,True,D,6.806,7.46,5,6.806,0.0,0.0,0.4666666666666667
39423,H1_15,1159,True,D,7.165,7.87,4,7.165,0.0,0.0,0.4
39424,H1_15,1159,True,D,6.873,8.95,5,6.873,0.0,0.0,0.4
39425,H1_15,1159,True,A,6.533,7.68,15,6.533,0.15789473684210525,0.15789473684210525,1.2666666666666666
39426,H1_15,1159,True,M,6.866,8.45,9,6.866,0.23076923076923078,0.23076923076923078,0.8666666666666667
39429,H1_15,1159,True,M,6.522,7.13,8,6.522,0.125,0.125,0.5333333333333333
39431,H1_15,1159,True,M,7.041,9.88,10,7.041,0.07142857142857142,0.07142857142857142,0.9333333333333333
39433,H1_15,1159,True,M,6.725,7.79,10,6.725,0.16666666666666666,0.16666666666666666,0.8
39435,H1_15,1159,True,D,6.639,7.77,9,6.639,0.18181818181818182,0.18181818181818182,0.7333333333333333
39436,H1_15,1159,True,M,6.551,8.67,8,6.551,0.2222222222222222,0.2222222222222222,0.6
39437,H1_15,1159,False,G,12.02,12.02,1,12.02,0.0,0.0,0.06666666666666667
39438,H1_15,1159,False,D,7.098,9.48,11,7.098,0.1875,0.1875,1.0666666666666667
39439,H1_15,1159,False,D,6.656,8.62,7,6.656,0.125,0.125,0.5333333333333333
39440,H1_15,1159,False,D,6.368,7.4,9,6.368,0.1,0.1,0.6666666666666666
39441,H1_15,1159,False,M,6.733,8.03,7,6.733,0.5555555555555556,0.5555555555555556,0.6
39442,H1_15,1159,False,M,6.79,7.9,6,6.79,0.875,0.875,0.5333333333333333
39443,H1_15,1159,False,M,6.672,8.28,3,6.672,0.5,0.5,0.26666666666666666
39444,H1_15,1159,False,A,6.848,7.38,4,6.848,0.8333333333333334,0.8333333333333334,0.4
39445,H1_15,1159,False,M,6.125,6.62,16,6.125,0.375,0.375,1.0666666666666667
39448,H1_15,1159,False,M,7.231,8.32,6,7.231,0.6,0.6,0.6666666666666666
39449,H1_15,1159,False,D,7.055,8.92,7,7.055,0.5454545454545454,0.5454545454545454,0.7333333333333333
39421,H1_30,1159,True,G,0.0,0.0,0,0.0,,,0.0
39422,H1_30,1159,True,D,5.973,6.05,3,6.556,0.0,0.0,0.3333333333333333
39423,H1_30,1159,True,D,6.578,7.43,6,6.872,0.25,0.5,0.4
39424,H1_30,1159,True,D,6.312,7.14,5,6.618,0.0,0.0,0.36666666666666664
39425,H1_30,1159,True,A,6.867,8.25,6,6.64,0.35714285714285715,0.7777777777777778,0.9333333333333333
39426,H1_30,1159,True,M,6.363,8.01,6,6.69,0.3,0.42857142857142855,0.6666666666666666
39429,H1_30,1159,True,M,6.723,7.51,9,6.638,0.3157894736842105,0.45454545454545453,0.6333333333333333
39431,H1_30,1159,True,M,6.776,7.8,10,6.904,0.20689655172413793,0.3333333333333333,0.9666666666666667
39433,H1_30,1159,True,M,6.514,8.44,6,6.647,0.3157894736842105,0.5714285714285714,0.6333333333333333
39435,H1_30,1159,True,D,6.372,8.24,9,6.512,0.2857142857142857,0.4,0.7
39436,H1_30,1159,True,M,6.31,7.0,5,6.465,0.2857142857142857,0.4,0.4666666666666667
39437,H1_30,1159,False,G,6.79,6.79,1,9.405,0.0,0.0,0.06666666666666667
39438,H1_30,1159,False,D,7.358,8.36,3,7.169,0.13636363636363635,0.0,0.7333333333333333
39439,H1_30,1159,False,D,6.687,8.24,2,6.665,0.09090909090909091,0.0,0.36666666666666664
39440,H1_30,1159,False,D,6.645,8.03,4,6.472,0.125,0.16666666666666666,0.5333333333333333
39441,H1_30,1159,False,M,6.332,7.54,3,6.61,0.46153846153846156,0.25,0.43333333333333335
39442,H1_30,1159,False,M,7.035,9.29,3,6.872,0.8333333333333334,0.75,0.4
39443,H1_30,1159,False,M,6.56,8.42,4,6.61,0.2222222222222222,0.0,0.3
