top_third_pass_share,forward_pass_share_D,cumul_sprints,jersey_number,cumul_passes_M
0.0,1.0,2,2,0.0
0.0,0.0,2,4,0.0
0.0,1.0,1,5,0.0
0.0,0.0,4,6,0.0
0.0,0.0,4,7,4.0
0.0,0.0,0,10,2.0
0.0,0.0,4,15,0.0
0.0,0.0,2,18,3.0
0.1428571428571428,0.0,2,21,0.0
0.1428571428571428,0.0,1,22,7.0
0.1666666666666666,0.3333333333333333,5,2,0.0
0.0,0.2857142857142857,1,3,0.0
0.0,0.0,1,5,0.0
0.7,0.0,2,6,10.0
0.75,0.0,2,7,12.0
0.25,0.0,1,8,16.0
0.0,0.0,2,9,0.0
0.4444444444444444,0.0,0,10,9.0
0.4285714285714285,0.0,4,16,7.0
0.1,0.0,4,18,0.0
0.0454545454545454,0.5,2,2,0.0
0.0,0.0,2,4,0.0
0.1818181818181818,1.0,1,5,0.0
0.0,0.0,7,6,0.0
0.1428571428571428,0.0,5,7,7.0
0.0909090909090909,0.0,2,10,11.0
0.0,0.0,9,15,1.0
0.4,0.0,3,18,5.0
0.1818181818181818,0.0,3,21,0.0
0.2666666666666666,0.0,1,22,15.0
0.1904761904761904,0.6,8,2,0.0
0.0,0.4545454545454545,2,3,0.0
0.0,0.0,3,5,0.0
0.4782608695652174,0.0,3,6,23.0
0.6190476190476191,0.0,3,7,21.0
0.2121212121212121,0.0,2,8,33.0
0.3333333333333333,0.0,7,9,0.0
0.3636363636363636,0.0,1,10,22.0
0.5333333333333333,0.0,5,16,15.0
0.1052631578947368,0.3333333333333333,7,18,0.0
0.0277777777777777,0.3333333333333333,4,2,0.0
0.0,0.0,4,4,0.0
0.2105263157894736,0.4,2,5,0.0
0.0,0.0,8,6,0.0
0.1818181818181818,0.0,6,7,11.0
0.0666666666666666,0.0,3,10,15.0
0.2857142857142857,0.0,12,15,7.0
0.375,0.0,3,18,8.0
0.15,0.0,6,21,0.0
0.1481481481481481,0.0,2,22,27.0
0.2068965517241379,0.5,11,2,0.0
0.0,0.5,3,3,0.0
