jersey_number,ratio_peak_speed,minutes_remaining,last15_passes_top_third,runs_per_minute_played,cumul_sprints,minute_out,formation_offensiveness,ratio_passes_top_third,top_third_press_share_above_team_avg,is_home_int,pos_D,pos_M
2.0,1.0,75.0,3.0,0.0,2.0,90.0,17.0,1.0,0.0,1,1,0
4.0,1.0,75.0,3.0,0.4666666666666667,2.0,90.0,17.0,1.0,-0.03125,1,1,0
5.0,1.0,75.0,11.0,0.4,1.0,90.0,17.0,1.0,0.0,1,1,0
6.0,1.0,60.0,3.0,0.4,4.0,75.0,17.0,1.0,-0.03125,1,0,0
7.0,1.0,72.0,5.0,1.2666666666666666,4.0,87.0,17.0,1.0,0.21875,1,0,1
10.0,1.0,75.0,2.0,0.8666666666666667,0.0,90.0,17.0,1.0,-0.03125,1,0,1
15.0,1.0,65.0,4.0,0.5333333333333333,4.0,80.0,17.0,1.0,0.0,1,0,1
18.0,1.0,72.0,4.0,0.9333333333333332,2.0,87.0,17.0,1.0,-0.03125,1,0,1
21.0,1.0,75.0,5.0,0.8,2.0,90.0,17.0,1.0,-0.03125,1,1,0
22.0,1.0,65.0,7.0,0.7333333333333333,1.0,80.0,17.0,1.0,-0.03125,1,0,1
2.0,1.0,75.0,12.0,0.6,5.0,90.0,17.0,1.0,-0.03125,0,1,0
3.0,1.0,75.0,1.0,0.0666666666666666,1.0,90.0,17.0,1.0,0.0,0,1,0
5.0,1.0,75.0,0.0,1.0666666666666669,1.0,90.0,17.0,0.0,-0.4123809523809523,0,1,0
6.0,1.0,75.0,22.0,0.5333333333333333,2.0,90.0,17.0,1.0,-0.4123809523809523,0,0,1
7.0,1.0,75.0,24.0,0.6666666666666666,2.0,90.0,17.0,1.0,-0.4123809523809523,0,0,1
8.0,1.0,62.0,8.0,0.6,1.0,77.0,17.0,1.0,0.2542857142857143,0,0,1
9.0,1.0,51.0,1.0,0.5333333333333333,2.0,66.0,17.0,1.0,0.3019047619047619,0,0,0
10.0,1.0,44.0,11.0,0.2666666666666666,0.0,59.0,17.0,1.0,-0.2695238095238095,0,0,1
16.0,1.0,51.0,13.0,0.4,4.0,66.0,17.0,1.0,-0.4123809523809523,0,0,1
18.0,1.0,31.0,4.0,1.0666666666666669,4.0,46.0,17.0,1.0,0.5876190476190477,0,1,0
2.0,1.6219839142091153,60.0,3.0,0.6666666666666666,2.0,90.0,17.0,1.0,0.5876190476190477,1,1,0
4.0,1.8881829733163915,60.0,3.0,0.7333333333333333,2.0,90.0,17.0,1.0,0.1876190476190476,1,1,0
5.0,1.5955307262569831,60.0,11.0,0.0,1.0,90.0,17.0,1.0,0.0,1,1,0
6.0,2.0,45.0,3.0,0.3333333333333333,7.0,75.0,17.0,1.0,-0.2852380952380952,1,0,0
7.0,1.8958579881656803,57.0,5.0,0.4,5.0,87.0,17.0,1.0,0.3814285714285714,1,0,1
10.0,2.0,60.0,2.0,0.3666666666666666,2.0,90.0,17.0,1.0,-0.2852380952380952,1,0,1
15.0,1.5789473684210524,50.0,4.0,0.9333333333333332,9.0,80.0,17.0,1.0,-0.0352380952380952,1,0,1
18.0,2.0,57.0,4.0,0.6666666666666666,3.0,87.0,17.0,1.0,0.0004761904761904,1,0,1
21.0,2.0,60.0,5.0,0.6333333333333333,3.0,90.0,17.0,1.0,0.2147619047619047,1,1,0
22.0,1.6147635524798154,50.0,7.0,0.9666666666666668,1.0,80.0,17.0,1.0,0.048095238095238,1,0,1
2.0,1.763713080168776,60.0,12.0,0.6333333333333333,8.0,90.0,17.0,1.0,0.1147619047619047,0,1,0
3.0,1.9118329466357311,60.0,1.0,0.7,2.0,90.0,17.0,1.0,-0.1185714285714285,0,1,0
5.0,2.0,60.0,0.0,0.4666666666666667,3.0,90.0,17.0,0.0,-0.0352380952380952,0,1,0
6.0,1.8779576587795768,60.0,22.0,0.0666666666666666,3.0,90.0,17.0,1.0,0.0,0,0,1
7.0,2.0,60.0,24.0,0.7333333333333333,3.0,90.0,17.0,1.0,-0.1051785714285714,0,0,1
8.0,2.0,47.0,8.0,0.3666666666666666,2.0,77.0,17.0,1.0,-0.3051785714285714,0,0,1
9.0,2.0,36.0,1.0,0.5333333333333333,7.0,66.0,17.0,1.0,-0.3051785714285714,0,0,0
10.0,2.0,29.0,11.0,0.4333333333333333,1.0,59.0,17.0,1.0,-0.0194642857142857,0,0,1
16.0,1.7884615384615383,36.0,13.0,0.4,5.0,66.0,17.0,1.0,0.1948214285714286,0,0,1
18.0,1.6614349775784754,16.0,4.0,0.3,7.0,46.0,17.0,1.0,-0.1176785714285714,0,1,0
2.0,3.0,45.0,3.0,0.7,4.0,90.0,17.0,1.0,-0.3051785714285714,1,1,0
4.0,3.0,45.0,3.0,0.7666666666666667,4.0,90.0,17.0,1.0,0.3948214285714285,1,1,0
5.0,3.0,45.0,11.0,0.5333333333333333,2.0,90.0,17.0,1.0,0.4448214285714286,1,1,0
6.0,2.727272727272727,30.0,3.0,0.6,8.0,75.0,17.0,1.0,0.1233928571428571,1,0,0
7.0,2.563313609467456,42.0,5.0,0.0444444444444444,6.0,87.0,17.0,1.0,0.0,1,0,1
10.0,3.0,45.0,2.0,0.3555555555555555,3.0,90.0,17.0,1.0,-0.2949404761904762,1,0,1
15.0,2.866396761133603,35.0,4.0,0.4,12.0,80.0,17.0,1.0,0.2050595238095238,1,0,1
18.0,2.360189573459716,42.0,4.0,0.3555555555555555,3.0,87.0,17.0,1.0,0.0383928571428571,1,0,1
21.0,3.0,45.0,5.0,0.7555555555555555,6.0,90.0,17.0,1.0,-0.1699404761904762,1,1,0
22.0,2.764705882352941,35.0,7.0,0.6444444444444445,2.0,80.0,17.0,1.0,0.0622023809523809,1,0,1
2.0,2.537974683544304,45.0,12.0,0.5333333333333333,11.0,90.0,17.0,1.0,0.1336309523809523,0,1,0
3.0,2.700696055684455,45.0,1.0,0.9333333333333332,3.0,90.0,17.0,1.0,0.0800595238095238,0,1,0
5.0,2.7608966376089668,45.0,0.0,0.6222222222222222,4.0,90.0,17.0,0.0,0.2050595238095238,0,1,0
6.0,3.0,45.0,22.0,0.6222222222222222,4.0,90.0,17.0,1.0,-0.1520833333333333,0,0,1
7.0,2.97416576964478,45.0,24.0,0.4666666666666667,7.0,90.0,17.0,1.0,-0.1074404761904762,0,0,1
8.0,3.0,32.0,8.0,0.0444444444444444,5.0,77.0,17.0,1.0,-0.2693227153120201,0,0,1
