,lasso,stability,boruta,rfe,total
forward_pass_share_D,1,1,1,1,4
pos_A,1,1,1,0,3
cumul_sprints,1,0,1,1,3
jersey_number,1,1,0,1,3
cumul_passes_M,1,1,0,1,3
cumul_passes,1,1,0,0,2
top_third_press_share_above_team_avg,1,1,0,0,2
mean_abs_pass_angle,1,1,0,0,2
fatigue_gap,1,1,0,0,2
forward_pass_share,1,1,0,0,2
top_third_pass_x_top_third_run,1,1,0,0,2
top_third_press_share_x_set_piece_share,1,1,0,0,2
last15_hsr,1,1,0,0,2
player_shot_share,1,1,0,0,2
shots_per_pass_received,1,1,0,0,2
composure_under_pressure_ratio,1,1,0,0,2
is_home_int,1,1,0,0,2
share_left_foot,1,1,0,0,2
last15_sprints_M,1,1,0,0,2
share_right_foot,1,1,0,0,2
formation_offensiveness,1,1,0,0,2
cumul_press_events,1,0,1,0,2
shot_intent_under_fatigue,1,1,0,0,2
last15_press_events_x_last15_intensity_shots,1,1,0,0,2
match_minute_at_cp,1,1,0,0,2
top_third_run_share_D,1,1,0,0,2
last15_sprints_D,1,1,0,0,2
top_third_run_share_M,1,1,0,0,2
ratio_distance,1,1,0,0,2
shot_to_press_ratio,1,1,0,0,2
subbed_int,1,1,0,0,2
cumul_mean_max_speed,1,1,0,0,2
subbed_x_last15_intensity_shots,1,1,0,0,2
cumul_passes_A,1,1,0,0,2
shots_per_top_third_run,1,0,0,0,1
passes_received_share,0,1,0,0,1
cumul_distance,1,0,0,0,1
ratio_shots_top_third,0,1,0,0,1
ratio_peak_speed,0,0,1,0,1
cumul_hsr,1,0,0,0,1
top_third_pass_share,0,0,0,1,1
top_third_run_share,1,0,0,0,1
cumul_peak_speed,1,0,0,0,1
ratio_sprints,0,0,1,0,1
shot_accuracy,1,0,0,0,1
press_turnover_rate_M,1,0,0,0,1
last15_peak_speed,1,0,0,0,1
top_third_press_share,0,0,0,0,0
top_third_consistency_count,0,0,0,0,0
four_domain_top_third_avg,0,0,0,0,0
cumul_passes_D,0,0,0,0,0
press_turnover_rate_A,0,0,0,0,0
passes_received_share_D,0,0,0,0,0
top_third_run_share_A,0,0,0,0,0
top_third_last15_share,0,0,0,0,0
top_third_presence_avg,0,0,0,0,0
press_turnover_rate_D,0,0,0,0,0
top_third_presence_joint,0,0,0,0,0
forward_pass_share_A,0,0,0,0,0
cumul_pressing_others,0,0,0,0,0
last15_shots_under_press,0,0,0,0,0
top_third_run_share_x_shot_accuracy,0,0,0,0,0
dominant_foot_strength,0,0,0,0,0
last15_press_events,0,0,0,0,0
minute_in,0,0,0,0,0
last15_shots_top_third,0,0,0,0,0
runs_per_minute_played,0,0,0,0,0
last15_sprints_A,0,0,0,0,0
last15_passes,0,0,0,0,0
shot_to_pass_ratio,0,0,0,0,0
cumul_intensity,0,0,0,0,0
top_third_run_share_x_set_piece_share,0,0,0,0,0
passes_received_share_above_team_avg,0,0,0,0,0
press_turnover_rate,0,0,0,0,0
last15_shots_on_target,0,0,0,0,0
ratio_hsr,0,0,0,0,0
cumul_shots,0,0,0,0,0
speed_above_team_avg,0,0,0,0,0
cumul_shots_on_target,0,0,0,0,0
pressing_minus_pressed,0,0,0,0,0
last15_passes_received_x_last15_sprints,0,0,0,0,0
set_piece_share,0,0,0,0,0
cumul_shots_under_press,0,0,0,0,0
ratio_shots_under_press,0,0,0,0,0
pos_M,0,0,0,0,0
ratio_shots_on_target,0,0,0,0,0
last15_sprints,0,0,0,0,0
pressing_minus_pressed_x_cumul_shots,0,0,0,0,0
last15_distance,0,0,0,0,0
last15_mean_max_speed,0,0,0,0,0
forward_pass_share_M,0,0,0,0,0
