ratio_peak_speed,formation_offensiveness,pos_A,pos_D,subbed_int,is_home_int,jersey_number,minute_in,ratio_distance,last15_sprints,cumul_hsr,last15_peak_speed,ratio_shots_top_third
1.0,17,0,1,0,1,2,1,1.0,2,5,7.46,0.0
1.0,17,0,1,0,1,4,1,1.0,2,4,7.87,0.0
1.0,17,0,1,0,1,5,1,1.0,1,5,8.95,0.0
1.0,17,1,0,1,1,6,1,1.0,4,15,7.68,0.0
1.0,17,0,0,1,1,7,1,1.0,4,9,8.45,0.0
1.0,17,0,0,0,1,10,1,1.0,0,8,7.13,0.0
1.0,17,0,0,1,1,15,1,1.0,4,10,9.88,0.0
1.0,17,0,0,1,1,18,1,1.0,2,10,7.79,0.0
1.0,17,0,1,0,1,21,1,1.0,2,9,7.77,0.0
1.0,17,0,0,1,1,22,1,1.0,1,8,8.67,0.0
1.0,17,0,1,0,0,2,1,1.0,5,11,9.48,0.0
1.0,17,0,1,0,0,3,1,1.0,1,7,8.62,0.0
1.0,17,0,1,0,0,5,1,1.0,1,9,7.4,0.0
1.0,17,0,0,0,0,6,1,1.0,2,7,8.03,0.0
1.0,17,0,0,0,0,7,1,1.0,2,6,7.9,1.0
1.0,17,0,0,1,0,8,1,1.0,1,3,8.28,0.0
1.0,17,1,0,1,0,9,1,1.0,2,4,7.38,0.0
1.0,17,0,0,1,0,10,1,1.0,0,16,6.62,0.0
1.0,17,0,0,1,0,16,1,1.0,4,6,8.32,0.0
1.0,17,0,1,1,0,18,1,1.0,4,7,8.92,0.0
1.6219839142091153,17,0,1,0,1,2,1,0.725334331,0,8,6.05,0.0
1.8881829733163915,17,0,1,0,1,4,1,0.9866824504291212,0,10,7.43,0.0
1.5955307262569831,17,0,1,0,1,5,1,0.9343588383503514,0,10,7.14,0.0
2.0,17,1,0,1,1,6,1,0.6822429906542057,3,21,8.25,0.0
1.8958579881656803,17,0,0,1,1,7,1,0.7031659797677031,1,15,8.01,0.0
2.0,17,0,0,0,1,10,1,0.909239575,2,17,7.51,0.0
1.5789473684210524,17,0,0,1,1,15,1,0.7242975122088414,5,20,7.8,0.0
2.0,17,0,0,1,1,18,1,0.7555121951219512,1,16,8.44,2.0
2.0,17,0,1,0,1,21,1,1.121241677621814,1,18,8.24,2.0
1.6147635524798154,17,0,0,1,1,22,1,0.7039966476350114,0,13,7.0,0.0
1.763713080168776,17,0,1,0,0,2,1,0.5334965013022059,3,14,8.36,2.0
1.9118329466357311,17,0,1,0,0,3,1,0.4830810329474621,1,9,8.24,0.0
2.0,17,0,1,0,0,5,1,0.6220576859321473,2,13,8.03,2.0
1.8779576587795768,17,0,0,0,0,6,1,0.6435760394252794,1,10,7.54,0.0
2.0,17,0,0,0,0,7,1,0.7305905773059058,1,9,9.29,0.0
2.0,17,0,0,1,0,8,1,1.2530034068495606,1,7,8.42,2.0
2.0,17,1,0,1,0,9,1,1.4562610737978492,5,14,8.16,2.0
2.0,17,0,0,1,0,10,1,0.5815194441245345,1,22,7.24,0.0
1.7884615384615383,17,0,0,1,0,16,1,0.833829343,1,11,7.44,0.0
1.6614349775784754,17,0,1,1,0,18,1,0.6223091976516634,3,11,7.41,0.0
3.0,17,0,1,0,1,2,1,1.142567606694076,2,12,7.69,0.0
3.0,17,0,1,0,1,4,1,1.3085425878034536,2,14,8.53,0.0
3.0,17,0,1,0,1,5,1,1.0748021444983409,1,14,9.24,0.0
2.727272727272727,17,1,0,1,1,6,1,0.6725969716405008,1,26,7.5,0.0
2.563313609467456,17,0,0,1,1,7,1,1.100782778864971,1,23,7.22,3.0
3.0,17,0,0,0,1,10,1,0.5684483503817894,1,21,9.09,0.0
2.866396761133603,17,0,0,1,1,15,1,0.7919191539011631,3,30,9.44,0.0
2.360189573459716,17,0,0,1,1,18,1,0.9603343061820112,0,25,6.64,0.0
3.0,17,0,1,0,1,21,1,0.9519715129407678,3,22,8.79,0.0
2.764705882352941,17,0,0,1,1,22,1,1.067422555173112,1,19,7.99,3.0
2.537974683544304,17,0,1,0,0,2,1,1.1201187620433362,3,26,8.02,0.0
2.700696055684455,17,0,1,0,0,3,1,0.8962377061976375,1,12,7.76,0.0
2.7608966376089668,17,0,1,0,0,5,1,0.5872550326623116,1,16,7.39,0.0
3.0,17,0,0,0,0,6,1,0.8619342072718278,1,12,8.83,0.0
2.97416577,17,0,0,0,0,7,1,1.3659920491507047,4,12,9.21,1.5
3.0,17,0,0,1,0,8,1,1.438762655717818,3,11,8.53,0.0
3.0,17,1,0,1,0,9,1,1.0320304897826793,2,21,8.73,0.0
2.846685082872928,17,0,0,1,0,10,1,0.5433197107827726,0,27,6.87,3.0
2.8774038461538463,17,0,0,1,0,16,1,0.9130797515681488,2,16,7.98,0.0
2.4517937219730945,17,0,1,1,0,18,1,1.1135336133329763,1,21,7.29,0.0
3.5578673602080624,17,0,1,0,1,2,1,1.533352378231681,0,17,6.84,0.0
3.343493552168816,17,0,1,0,1,4,1,0.4736513073217372,0,16,7.13,0.0
3.683982683982684,17,0,1,0,1,5,1,1.0955602928909074,3,17,8.51,0.0
3.9030303030303033,17,1,0,1,1,6,1,1.2315293754342624,2,37,8.05,0.0
4.0,17,0,0,1,1,7,1,1.656463884932078,5,32,8.87,2.0
3.3839383938393843,17,0,0,0,1,10,1,1.0637505816658912,1,31,7.69,0.0
3.781376518218623,17,0,0,1,1,15,1,1.0782828629946803,4,39,9.34,0.0
4.0,17,0,0,1,1,18,1,1.1679753540970057,1,36,9.02,0.0
3.4994311717861213,17,0,1,0,1,21,1,0.8227746223009176,1,30,7.69,2.0
3.838523644752019,17,0,0,1,1,22,1,0.9904026811557406,1,23,8.32,0.0
3.7426160337552736,17,0,1,0,0,2,1,1.3931340261670746,5,35,8.87,0.0
3.832946635730859,17,0,1,0,0,3,1,1.3640135797812143,1,17,8.26,0.0
3.7110834371108345,17,0,1,0,0,5,1,1.1892330751936049,1,22,7.45,0.0
2.930917327293318,17,0,0,0,0,6,1,1.1935304734138552,0,16,6.47,0.0
3.987082885,17,0,0,0,0,7,1,1.383637094295913,2,18,9.26,0.0
4.0,17,0,0,1,0,8,1,1.376017628695599,2,15,9.26,0.0
3.647193585337915,17,1,0,1,0,9,1,0.9441840295702812,4,25,7.96,0.0
3.3173076923076925,17,0,0,1,0,16,1,1.1542756649813146,0,22,6.9,0.0
0.1333333333333333,17,0,0,0,0,20,59,0.1333333333333333,0,2,6.89,0.0
1.0,17,0,1,0,0,22,46,1.0,4,7,8.44,0.0
4.479843953185956,17,0,1,0,1,2,1,0.5360729429017758,0,21,6.89,0.0
3.944900351699883,17,0,1,0,1,4,1,0.3086291964254908,0,18,6.73,0.0
4.053030303030303,17,0,1,0,1,5,1,0.6166034669555797,1,22,7.49,0.0
4.963636363636364,17,1,0,1,1,6,1,1.063575997933476,2,44,8.19,0.0
4.137542277339347,17,0,0,1,1,7,1,0.6674945435387973,1,38,7.34,0.0
3.811881188118812,17,0,0,0,1,10,1,0.6222337450693531,0,36,6.93,0.0
4.124493927125505,17,0,0,1,1,15,1,0.6990919195024475,3,47,8.15,0.0
4.584257206208426,17,0,0,1,1,18,1,0.8574696901312001,2,42,8.27,1.6666666666666667
3.583617747440273,17,0,1,0,1,21,1,0.8696312900100679,0,36,6.3,0.0
4.186851211072664,17,0,0,1,1,22,1,0.7579217198371497,1,27,7.26,0.0
4.066455696202532,17,0,1,0,0,2,1,1.0076841222092618,4,46,7.71,0.0
3.799303944315546,17,0,1,0,0,3,1,0.9676705661107884,0,22,6.55,0.0
4.414694894146949,17,0,1,0,0,5,1,0.5698198821348531,0,25,7.09,0.0
4.382785956964892,17,0,0,0,0,6,1,0.7477049325501078,1,21,7.74,5.0
3.584499461786868,17,0,0,0,0,7,1,0.6662227230816515,0,24,6.66,0.0
3.957883369330454,17,0,0,1,0,8,1,0.7257600334885668,1,19,7.33,0.0
0.6666666666666666,17,0,0,0,0,11,66,0.6666666666666666,3,12,7.5,0.0
0.6666666666666666,17,1,0,0,0,19,66,0.6666666666666666,1,7,7.75,0.6666666666666666
1.1333333333333333,17,0,0,0,0,20,59,0.8309015256588071,1,14,7.29,1.1333333333333333
1.8815165876777251,17,0,1,0,0,22,46,1.0225281602002505,3,17,7.94,0.0
1.0,18,0,1,1,1,2,1,1.0,2,8,7.34,0.0
1.0,18,0,1,0,1,3,1,1.0,1,8,8.24,0.0
1.0,18,0,0,0,1,4,1,1.0,1,7,7.39,0.0
1.0,18,0,1,0,1,5,1,1.0,0,4,6.94,0.0
1.0,18,0,1,0,1,6,1,1.0,1,5,7.54,0.0
1.0,18,0,0,0,1,7,1,1.0,1,10,7.51,0.0
1.0,18,1,0,1,1,10,1,1.0,0,10,6.71,0.0
1.0,18,0,0,1,1,11,1,1.0,0,3,6.39,1.0
1.0,18,0,0,0,1,14,1,1.0,2,11,7.9,0.0
1.0,18,1,0,1,1,17,1,1.0,2,9,9.48,1.0
1.0,19,0,1,1,0,3,1,1.0,0,2,5.99,1.0
1.0,19,0,0,0,0,5,1,1.0,1,11,7.37,0.0
1.0,19,0,1,0,0,6,1,1.0,0,2,6.32,0.0
1.0,19,1,0,1,0,7,1,1.0,1,9,7.83,1.0
1.0,19,0,0,1,0,8,1,1.0,1,10,7.24,1.0
1.0,19,1,0,0,0,9,1,1.0,4,9,7.89,0.0
1.0,19,0,1,0,0,11,1,1.0,1,5,7.39,0.0
1.0,19,0,1,1,0,16,1,1.0,2,7,7.31,0.0
1.0,19,0,0,1,0,17,1,1.0,5,15,8.03,0.0
1.0,19,1,0,0,0,19,1,1.0,3,10,7.91,0.0
2.0,18,0,1,1,1,2,1,0.8601674830146943,1,15,8.13,0.0
1.8519417475728157,18,0,1,0,1,3,1,1.129084641463206,3,22,7.63,0.0
1.8565629228687417,18,0,0,0,1,4,1,1.1982643991881867,0,17,6.86,0.0
2.0,18,0,1,0,1,5,1,1.1884388273075728,1,8,7.13,0.0
1.9973474801061009,18,0,1,0,1,6,1,0.8452468680913781,1,9,7.53,0.0
2.0,18,0,0,0,1,7,1,0.93779420592045,2,18,8.34,2.0
2.0,18,1,0,1,1,10,1,0.9899183469421764,1,19,8.26,0.0
2.0,18,0,0,1,1,11,1,1.4529506809263677,0,11,6.55,1.0
1.9139240506329112,18,0,0,0,1,14,1,0.9711403754553096,3,20,7.56,0.0
1.9156118143459917,18,1,0,1,1,17,1,0.6874934988384591,2,14,9.08,0.0
2.0,19,0,1,1,0,3,1,0.9311229524373396,1,4,7.39,0.0
1.943012211668928,19,0,0,0,0,5,1,0.8312917348427895,0,18,7.16,0.0
2.0,19,0,1,0,0,6,1,1.4001287277408283,0,4,6.47,0.0
1.7088122605363985,19,1,0,1,0,7,1,0.9620558493366732,0,15,6.69,0.0
1.8176795580110496,19,0,0,1,0,8,1,0.8564521587777401,0,17,6.58,0.0
1.908745247148289,19,1,0,0,0,9,1,0.683138746,1,14,7.53,0.0
2.0,19,0,1,0,0,11,1,1.0633626779697858,2,11,8.15,0.0
1.890560875512996,19,0,1,1,0,16,1,0.8042084023924478,0,13,6.91,0.0
1.8978829389788296,19,0,0,1,0,17,1,0.9294368888389344,1,28,7.62,0.0
2.0,19,1,0,0,0,19,1,1.0517247781367198,2,17,8.77,0.0
2.608856088560885,18,0,1,1,1,2,1,1.1447136994332618,0,25,7.07,0.0
2.858009708737864,18,0,1,0,1,3,1,0.8260977271319749,1,30,7.85,0.0
2.8741542625169147,18,0,0,0,1,4,1,0.8855648999926011,0,26,7.08,0.0
3.0,18,0,1,0,1,5,1,1.472787680624407,1,15,8.35,0.0
3.0,18,0,1,0,1,6,1,1.509200769,2,16,7.58,0.0
2.967625899280576,18,0,0,0,1,7,1,0.8069008522136769,1,27,8.25,0.0
3.0,18,1,0,1,1,10,1,1.0230061770761838,1,28,8.48,0.0
3.0,18,0,0,1,1,11,1,1.7331687028853655,4,23,7.66,0.0
3.0,18,0,0,0,1,14,1,1.1202746459641868,4,31,8.11,0.0
3.0,18,1,0,1,1,17,1,1.0971828198192255,4,23,9.59,1.5
3.0,19,0,1,1,0,3,1,1.9187882235812828,1,9,7.88,0.0
2.9226594301221165,19,0,0,0,0,5,1,0.7820969693006833,1,23,7.18,3.0
3.0,19,0,1,0,0,6,1,1.842122692275851,0,10,6.74,0.0
3.0,19,1,0,1,0,7,1,1.0744335606038051,2,21,8.63,0.0
2.983425414364641,19,0,0,1,0,8,1,0.7245855948364384,1,21,7.2,0.0
2.969581749,19,1,0,0,0,9,1,0.9210072438771992,2,20,7.81,0.0
2.8233128834355825,19,0,1,0,0,11,1,1.3617425366490594,1,23,7.67,0.0
3.0,19,0,1,1,0,16,1,1.4828905652126376,3,20,8.83,0.0
3.0,19,0,0,1,0,17,1,0.61663065,2,36,8.63,0.0
2.924743443557583,19,1,0,0,0,19,1,0.94576659,2,24,8.55,0.0
4.0,18,0,1,1,1,2,1,0.6343655796108523,1,29,8.27,0.0
3.980582524271844,18,0,1,0,1,3,1,0.9265275045999618,4,36,8.2,0.0
3.2638700947225985,18,0,0,0,1,4,1,0.3522929177068573,0,29,6.03,0.0
3.4538922155688625,18,0,1,0,1,5,1,0.7270216622076464,0,19,7.21,0.0
4.0,18,0,1,0,1,6,1,0.909418880203728,1,21,8.24,0.0
3.7985611510791366,18,0,0,0,1,7,1,0.7672235184321046,3,33,7.92,0.0
3.688679245283019,18,1,0,1,1,10,1,1.0549592707133182,3,36,7.82,0.0
3.5561357702349867,18,0,0,1,1,11,1,0.9067015101640826,0,31,6.81,0.0
3.758323057953144,18,0,0,0,1,14,1,1.0864555361379875,2,43,7.62,0.0
3.3117831074035458,18,1,0,1,1,17,1,1.004989379044608,4,34,7.94,0.0
4.0,19,0,0,0,0,5,1,1.2346359876138595,2,33,8.37,0.0
4.0,19,0,1,0,0,6,1,1.5251754341033652,1,15,7.38,0.0
3.768250289687138,19,1,0,1,0,7,1,0.8851896503755913,1,25,8.13,0.0
3.895027624309392,19,0,0,1,0,8,1,0.7943570903747244,0,27,7.05,0.0
3.858048162230672,19,1,0,0,0,9,1,0.5755859217697119,1,24,7.61,4.0
1.0,19,1,0,0,0,10,46,1.0,2,6,7.78,0.0
3.877300613496932,19,0,1,0,0,11,1,0.8123728893723691,1,30,7.9,0.0
3.714609286523216,19,0,1,1,0,16,1,1.440358200601665,3,30,8.2,0.0
3.6989737742303306,19,1,0,0,0,19,1,0.7180407209612817,1,31,8.11,0.0
1.0,19,0,0,0,0,20,46,1.0,1,9,8.18,0.0
4.516324062877872,18,0,1,1,1,2,1,1.2083584446892082,2,37,7.47,0.0
4.617718446601941,18,0,1,0,1,3,1,0.902467242096506,2,45,7.61,0.0
4.533152909336942,18,0,0,0,1,4,1,0.7418261219329999,0,33,6.7,0.0
4.167664670658683,18,0,1,0,1,5,1,0.8672159212497326,0,24,6.96,5.0
3.998786408,18,0,1,0,1,6,1,0.2820144845309214,0,23,6.59,0.0
5.0,18,0,0,0,1,7,1,1.4261890467613902,5,46,8.78,0.0
0.8666666666666667,18,0,0,0,1,8,63,0.8666666666666667,1,8,7.84,0.0
0.8666666666666667,18,1,0,0,1,9,63,0.8666666666666667,1,8,7.5,0.8666666666666667
4.386422976501305,18,0,0,1,1,11,1,0.8119001515406634,0,36,6.72,1.6666666666666667
4.963008631,18,0,0,0,1,14,1,0.3253765840439945,1,46,8.05,5.0
0.9333333333333332,19,0,1,0,0,2,62,0.9333333333333336,3,8,8.09,0.0
4.289127837514934,19,0,0,0,0,5,1,0.5395705212218974,1,37,7.18,0.0
4.166666666666667,19,0,1,0,0,6,1,0.5107155997056659,0,18,6.15,0.0
4.205801104972376,19,0,0,1,0,8,1,0.3204511071379452,0,29,6.09,0.0
4.765525982256021,19,1,0,0,0,9,1,0.7999954898069638,1,29,7.52,0.0
1.9897172236503853,19,1,0,0,0,10,46,1.043955464091605,2,15,7.74,0.0
3.969325153374233,19,0,1,0,0,11,1,0.3003023028363119,0,33,6.47,0.0
1.0,19,1,0,0,0,18,61,1.0,3,7,7.89,0.0
4.116305587,19,1,0,0,0,19,1,0.8763312286014142,0,39,7.22,0.0
1.7775061124694376,19,0,0,0,0,20,46,0.976858345021038,1,17,7.27,0.0
1.0,16,0,1,0,1,2,1,1.0,3,4,8.12,1.0
1.0,16,0,1,0,1,3,1,1.0,1,3,8.44,1.0
1.0,16,0,0,0,1,8,1,1.0,3,12,8.14,0.0
1.0,16,1,0,1,1,9,1,1.0,2,9,7.73,0.0
1.0,16,0,0,1,1,10,1,1.0,2,9,7.84,0.0
1.0,16,0,1,1,1,14,1,1.0,3,12,8.16,0.0
1.0,16,0,1,0,1,15,1,1.0,4,10,8.85,0.0
1.0,16,0,0,1,1,16,1,1.0,2,16,7.66,0.0
1.0,16,0,0,1,1,17,1,1.0,4,9,9.11,0.0
1.0,16,0,1,0,1,18,1,1.0,5,10,10.25,0.0
1.0,19,0,1,0,0,4,1,1.0,2,7,8.05,0.0
1.0,19,0,0,1,0,6,1,1.0,1,4,7.41,0.0
1.0,19,1,0,1,0,7,1,1.0,2,9,7.39,0.0
1.0,19,1,0,0,0,9,1,1.0,2,11,8.35,0.0
1.0,19,0,0,1,0,10,1,1.0,3,8,8.49,0.0
1.0,19,0,1,0,0,15,1,1.0,0,3,5.88,0.0
1.0,19,0,1,0,0,16,1,1.0,2,7,9.09,0.0
1.0,19,0,0,1,0,17,1,1.0,2,7,8.84,0.0
1.0,19,0,1,0,0,18,1,1.0,2,7,8.73,0.0
1.0,19,1,0,1,0,20,1,1.0,6,13,7.97,0.0
2.0,16,0,1,0,1,2,1,0.8752933330975722,1,9,9.1,0.0
1.6635071090047393,16,0,1,0,1,3,1,1.3855862279917317,1,16,7.02,0.0
1.746928746928747,16,0,0,0,1,8,1,0.8569300579340124,0,20,7.11,0.0
1.8033635187580848,16,1,0,1,1,9,1,0.9670031802178368,0,19,6.97,0.0
1.8673469387755104,16,0,0,1,1,10,1,0.7733572790335306,1,16,7.32,0.0
2.0,16,0,1,1,1,14,1,0.7554171558190899,2,18,8.73,0.0
1.7898305084745765,16,0,1,0,1,15,1,0.8563894595258662,3,17,7.92,0.0
2.0,16,0,0,1,1,16,1,0.9938897313321436,3,28,8.73,2.0
1.9451152579582875,16,0,0,1,1,17,1,0.7498479406502369,1,16,8.86,0.0
1.5141463414634146,16,0,1,0,1,18,1,0.9886017296245976,4,23,7.76,2.0
1.567701863354037,19,0,1,0,0,4,1,0.1793880849269777,0,8,6.31,0.0
2.0,19,0,0,1,0,6,1,1.499144078897213,3,16,7.61,0.0
2.0,19,1,0,1,0,7,1,0.9190520261180204,3,14,8.52,0.0
