pos_A,ratio_peak_speed,pos_D,formation_offensiveness,is_home_int,subbed_int,ratio_shots_top_third,jersey_number,minute_in,ratio_distance,cumul_mean_max_speed
0,1.0,1,17,1,0,0.0,2,1,1.0,6.806
0,1.0,1,17,1,0,0.0,4,1,1.0,7.165
0,1.0,1,17,1,0,0.0,5,1,1.0,6.873
1,1.0,0,17,1,1,0.0,6,1,1.0,6.533
0,1.0,0,17,1,1,0.0,7,1,1.0,6.866
0,1.0,0,17,1,0,0.0,10,1,1.0,6.522
0,1.0,0,17,1,1,0.0,15,1,1.0,7.041
0,1.0,0,17,1,1,0.0,18,1,1.0,6.725
0,1.0,1,17,1,0,0.0,21,1,1.0,6.639
0,1.0,0,17,1,1,0.0,22,1,1.0,6.551
0,1.0,1,17,0,0,0.0,2,1,1.0,7.098
0,1.0,1,17,0,0,0.0,3,1,1.0,6.656
0,1.0,1,17,0,0,0.0,5,1,1.0,6.368
0,1.0,0,17,0,0,0.0,6,1,1.0,6.733
0,1.0,0,17,0,0,1.0,7,1,1.0,6.79
0,1.0,0,17,0,1,0.0,8,1,1.0,6.672
1,1.0,0,17,0,1,0.0,9,1,1.0,6.848
0,1.0,0,17,0,1,0.0,10,1,1.0,6.125
0,1.0,0,17,0,1,0.0,16,1,1.0,7.231
0,1.0,1,17,0,1,0.0,18,1,1.0,7.055
0,1.6219839142091153,1,17,1,0,0.0,2,1,0.725334331,6.556
0,1.8881829733163915,1,17,1,0,0.0,4,1,0.9866824504291212,6.872
0,1.5955307262569831,1,17,1,0,0.0,5,1,0.9343588383503514,6.618
1,2.0,0,17,1,1,0.0,6,1,0.6822429906542057,6.64
0,1.8958579881656803,0,17,1,1,0.0,7,1,0.7031659797677031,6.69
0,2.0,0,17,1,0,0.0,10,1,0.909239575,6.638
0,1.5789473684210524,0,17,1,1,0.0,15,1,0.7242975122088414,6.904
0,2.0,0,17,1,1,2.0,18,1,0.7555121951219512,6.647
0,2.0,1,17,1,0,2.0,21,1,1.121241677621814,6.512
0,1.6147635524798154,0,17,1,1,0.0,22,1,0.7039966476350114,6.465
0,1.763713080168776,1,17,0,0,2.0,2,1,0.5334965013022059,7.169
